id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,raw_data,created_at
122,122,5510,Adiantamento de benefícios previdenciários,01/01/2014,"",Valor relativo a adiantamento de benefícios a serem pagos pela Previdência Social Oficial,"","{""NOME"": ""Adiantamento de benefícios previdenciários"", ""DTFIM"": null, ""CODIGO"": 5510, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor relativo a adiantamento de benefícios a serem pagos pela Previdência Social Oficial"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
123,123,6000,Saldo de salários na rescisão contratual,01/01/2014,"",Valor correspondente aos dias trabalhados no mês da rescisão contratual,"","{""NOME"": ""Saldo de salários na rescisão contratual"", ""DTFIM"": null, ""CODIGO"": 6000, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente aos dias trabalhados no mês da rescisão contratual"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
124,124,6001,13º salário relativo ao aviso prévio indenizado,01/01/2014,"",Valor correspondente ao 13° salário incidente sobre o aviso prévio indenizado,"","{""NOME"": ""13º salário relativo ao aviso prévio indenizado"", ""DTFIM"": null, ""CODIGO"": 6001, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente ao 13° salário incidente sobre o aviso prévio indenizado"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
125,125,6002,13° salário proporcional na rescisão,01/01/2014,"","Valor correspondente ao 13° salário proporcional pago na rescisão do contrato de trabalho, exceto o pago sobre o aviso prévio indenizado","","{""NOME"": ""13° salário proporcional na rescisão"", ""DTFIM"": null, ""CODIGO"": 6002, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente ao 13° salário proporcional pago na rescisão do contrato de trabalho, exceto o pago sobre o aviso prévio indenizado"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
126,126,6003,Indenização compensatória do aviso prévio,01/01/2014,"","Valor da maior remuneração do trabalhador, correspondente ao número de dias relativo ao aviso prévio, calculado de acordo com o tempo de serviço do empregado","","{""NOME"": ""Indenização compensatória do aviso prévio"", ""DTFIM"": null, ""CODIGO"": 6003, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor da maior remuneração do trabalhador, correspondente ao número de dias relativo ao aviso prévio, calculado de acordo com o tempo de serviço do empregado"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
127,127,6004,Férias - Dobro na rescisão,01/01/2014,"","Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias não concedidas no prazo legal, inclusive o adicional constitucional","","{""NOME"": ""Férias - Dobro na rescisão"", ""DTFIM"": null, ""CODIGO"": 6004, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias não concedidas no prazo legal, inclusive o adicional constitucional"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
128,128,6006,Férias proporcionais,01/01/2014,"","Valor correspondente a 1/12 avos da remuneração a que faz jus a época da rescisão contratual, fração superior a 14 dias por mês de trabalho e a projeção do aviso prévio indenizado, inclusive o adicional constitucional","","{""NOME"": ""Férias proporcionais"", ""DTFIM"": null, ""CODIGO"": 6006, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a 1/12 avos da remuneração a que faz jus a época da rescisão contratual, fração superior a 14 dias por mês de trabalho e a projeção do aviso prévio indenizado, inclusive o adicional constitucional"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
129,129,6007,Férias vencidas na rescisão,01/01/2014,"","Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias vencidas, mas dentro do prazo concessivo, inclusive o adicional constitucional","","{""NOME"": ""Férias vencidas na rescisão"", ""DTFIM"": null, ""CODIGO"": 6007, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias vencidas, mas dentro do prazo concessivo, inclusive o adicional constitucional"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
130,130,6101,Indenização compensatória - Multa rescisória 20 ou 40% (CF/88),01/01/2014,"","Valor correspondente à indenização por demissão sem justa causa, por culpa recíproca ou força maior (ambas reconhecidas pela Justiça do Trabalho) ou por acordo entre empregado e empregador, quando da rescisão do contrato de trabalho; ou correspondente à antecipação da multa rescisória do FGTS paga ao empregado com contrato Verde e Amarelo","","{""NOME"": ""Indenização compensatória - Multa rescisória 20 ou 40% (CF/88)"", ""DTFIM"": null, ""CODIGO"": 6101, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente à indenização por demissão sem justa causa, por culpa recíproca ou força maior (ambas reconhecidas pela Justiça do Trabalho) ou por acordo entre empregado e empregador, quando da rescisão do contrato de trabalho; ou correspondente à antecipação da multa rescisória do FGTS paga ao empregado com contrato Verde e Amarelo"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
131,131,6102,Indenização do art. 9º da Lei 7.238/1984,01/01/2014,"",Valor correspondente a indenização quando a dispensa ocorrer sem justa causa dentro dos trinta dias que antecedem a data base,"","{""NOME"": ""Indenização do art. 9º da Lei 7.238/1984"", ""DTFIM"": null, ""CODIGO"": 6102, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a indenização quando a dispensa ocorrer sem justa causa dentro dos trinta dias que antecedem a data base"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
132,132,6103,Indenização do art. 14 da Lei 5.889/1973,01/01/2014,"","Valor correspondente a indenização do tempo de serviço ao safrista, importância correspondente a 1/12 (um doze avos) do salário mensal, por mês de serviço ou fração superior a 14 (quatorze) dias","","{""NOME"": ""Indenização do art. 14 da Lei 5.889/1973"", ""DTFIM"": null, ""CODIGO"": 6103, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a indenização do tempo de serviço ao safrista, importância correspondente a 1/12 (um doze avos) do salário mensal, por mês de serviço ou fração superior a 14 (quatorze) dias"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
133,133,6104,Indenização do art. 479 da CLT,01/01/2014,"",Valor correspondente a metade da remuneração devida ate o termino do contrato a prazo determinado em caso de rescisão antecipada,"","{""NOME"": ""Indenização do art. 479 da CLT"", ""DTFIM"": null, ""CODIGO"": 6104, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a metade da remuneração devida ate o termino do contrato a prazo determinado em caso de rescisão antecipada"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
