id,cod_rubrica,descricao,cod_natureza,incid_inss,incid_irrf,incid_fgts,analise,incid_base_legal_inss,incid_base_legal_irrf,incid_base_legal_fgts,importado_em,corrigido,corrigido_em,envio_status,ini_valid_esocial
80,270,H E 50% - ART. 71,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
81,273,ARREDONDAMENTO,2999 - Arredondamentos,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",2026-03-28 04:05:08.371145,f,,pendente,
82,275,VALE REFEIÇÃO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
83,277,PAGTO. VALE REFEICAO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
84,278,PAGTO. CESTA BASICA,"1808 - Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
85,279,DEVOL DESC. ASSIST. MEDICA,1405 - Assistência médica,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
86,282,ADIANTAMENTO NORMAL,5501 - Adiantamento de salários,0,11,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/889 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",2026-03-28 04:05:08.371145,f,,pendente,
87,284,PAGTO. VALE ALIMENTACAO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
88,288,ANTECIPACAO 13º SALARIO,5504 - 13º salário - Adiantamento,0,9,12,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
89,289,MEDIAS ANTECIPACAO 13º SALARIO,5504 - 13º salário - Adiantamento,0,9,12,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
