codigo,nome,dt_inicio,dt_fim,descricao,versao
9203,Imposto de Renda Retido na Fonte,2014-01-01,,Desconto a título de Imposto de Renda Retido na Fonte - IRRF,17
9205,Provisão de contribuição previdenciária,2014-01-01,,Desconto efetuado em recibos de férias relativo a provisão de contribuição previdenciária,17
9207,Faltas,2014-01-01,,"Desconto decorrente de ausência de trabalho durante todo o dia em razão de, por exemplo, falta injustificada, suspensão disciplinar, greve",17
9208,Atrasos,2014-01-01,,"Desconto decorrente de ausência de trabalho em razão de, por exemplo, atrasos no início da jornada de trabalho ou de saída antecipada do trabalhador",17
9209,Faltas ou atrasos,2014-01-01,,"Desconto correspondente a faltas, atrasos no início da jornada de trabalho ou à saída antecipada do trabalhador",17
9210,DSR s/faltas e atrasos,2014-01-01,,"Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre faltas e atrasos do trabalhador",17
9211,DSR sobre faltas,2014-01-01,,"Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre faltas do trabalhador",17
9212,DSR sobre atrasos,2014-01-01,,"Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre atrasos do trabalhador",17
9213,Pensão alimentícia,2014-01-01,,"Desconto correspondente a pensão alimentícia sobre o salário mensal, 13° salário, PLR e férias",17
9214,13° salário - Desconto de adiantamento,2014-01-01,,Desconto de antecipação do 13° salário,17
9216,Desconto de vale-transporte,2014-01-01,,Desconto do vale-transporte referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior,17
9217,Contribuição a Outras Entidades e Fundos,2014-01-01,,"Desconto relativo a contribuições destinadas a outras entidades e fundos (Terceiros), como por exemplo, Sest, Senat, etc., devidas por algumas categorias de contribuintes individuais",17
9218,Retenções judiciais,2014-01-01,,"Desconto relativo a retenções de verbas devidas a trabalhadores por ordem judicial, exceto pensão alimentícia",17
9219,Desconto de assistência médica ou odontológica,2014-01-01,,"Desconto referente a participação do trabalhador no custo de assistência médica ou odontológica, ou em virtude de concessão do benefício em valor maior",17
9220,Alimentação - Desconto,2014-01-01,2021-06-30,Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior,17
9221,Desconto de férias,2014-01-01,,Valor correspondente a remuneração (dias) de férias do mês corrente pago no mês anterior ou adiantamento de férias,17
9222,Desconto de outros impostos e contribuições,2014-01-01,,"Desconto de outros impostos, taxas e contribuições, exceto Imposto de Renda Retido na Fonte, contribuição previdenciária e contribuições destinadas a outras entidades e fundos (Terceiros)",17
9223,Previdência complementar - Parte do empregado,2014-01-01,,Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior,17
9224,FAPI - Parte do empregado,2014-01-01,,"Desconto referente a participação do trabalhador no custo de Fundo de Aposentadoria Programada Individual - FAPI, ou em virtude de concessão do benefício em valor maior",17
9225,Previdência complementar - Parte do servidor,2014-01-01,,Desconto referente a participação do trabalhador no custeio de Plano de Previdência Complementar do Servidor Público,17
9226,Desconto de férias - Abono,2014-01-01,,Desconto correspondente ao abono de férias pago no mês anterior ou adiantamento de férias,17
9230,Contribuição sindical laboral,2014-01-01,,Valor correspondente ao desconto da contribuição laboral correspondente a um dia de trabalho a título de contribuição sindical,17
9231,Mensalidade sindical ou associativa,2014-01-01,,Valor correspondente ao desconto referente a mensalidade sindical ou associativa do trabalhador,17
9232,Contribuição sindical - Assistencial,2014-01-01,,Valor correspondente ao desconto da contribuição destinada ao custeio das atividades assistenciais do sindicato,17
9233,Contribuição sindical - Confederativa,2014-01-01,,Valor correspondente ao desconto da contribuição destinada ao custeio do sistema confederativo,17
9240,Alimentação concedida em pecúnia - Desconto,2014-01-01,,Desconto referente à alimentação concedida sob a forma de pecúnia,17
9241,"Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",2014-01-01,,"Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao Programa de Alimentação do Trabalhador - PAT",17
